hidden_nodes,learning_rate,bias,epoch,learn_correct,learn_wrong,test_correct,test_wrong,Average
200,0.01,0.05,2,0.9369,0.0631,0.9379,0.0621,0.9374
100,0.01,0.05,2,0.937366667,0.062633333,0.9372,0.0628,0.937283333
50,0.1,None,0,0.9379,0.0621,0.9354,0.0646,0.93665
50,0.01,None,2,0.931983333,0.068016667,0.9321,0.0679,0.932041667
50,0.01,0.05,2,0.931166667,0.068833333,0.9329,0.0671,0.932033333
50,0.05,0.05,0,0.9326,0.0674,0.9314,0.0686,0.932
20,0.05,0.05,3,0.93295,0.06705,0.9274,0.0726,0.930175
50,0.05,None,0,0.93025,0.06975,0.93,0.07,0.930125
20,0.1,None,3,0.931616667,0.068383333,0.9274,0.0726,0.929508333
20,0.05,0.05,2,0.9292,0.0708,0.9255,0.0745,0.92735
150,0.01,None,1,0.92375,0.07625,0.9274,0.0726,0.925575
100,0.01,0.05,1,0.924316667,0.075683333,0.9268,0.0732,0.925558333
150,0.01,0.05,1,0.924033333,0.075966667,0.9268,0.0732,0.925416667
100,0.01,None,1,0.924583333,0.075416667,0.926,0.074,0.925291667
200,0.01,None,1,0.923733333,0.076266667,0.9259,0.0741,0.924816667
200,0.01,0.05,1,0.921883333,0.078116667,0.9273,0.0727,0.924591667
20,0.05,0.05,1,0.924333333,0.075666667,0.9218,0.0782,0.923066667
50,0.01,None,1,0.9213,0.0787,0.9238,0.0762,0.92255
50,0.01,0.05,1,0.920033333,0.079966667,0.9243,0.0757,0.922166667
20,0.1,None,1,0.92325,0.07675,0.9201,0.0799,0.921675
20,0.1,0.05,3,0.923483333,0.076516667,0.9195,0.0805,0.921491667
20,0.1,None,2,0.921933333,0.078066667,0.9186,0.0814,0.920266667
20,0.05,None,3,0.921833333,0.078166667,0.9155,0.0845,0.918666667
20,0.01,0.05,3,0.916116667,0.083883333,0.919,0.081,0.917558333
20,0.1,0.05,1,0.916066667,0.083933333,0.9163,0.0837,0.916183333
20,0.01,None,3,0.914466667,0.085533333,0.9164,0.0836,0.915433333
20,0.1,0.05,2,0.917933333,0.082066667,0.9116,0.0884,0.914766667
20,0.01,0.05,2,0.911983333,0.088016667,0.9146,0.0854,0.913291667
20,0.05,None,2,0.91675,0.08325,0.9087,0.0913,0.912725
20,0.05,0.05,0,0.91125,0.08875,0.914,0.086,0.912625
20,0.05,None,1,0.913583333,0.086416667,0.9104,0.0896,0.911991667
20,0.01,None,2,0.909183333,0.090816667,0.9135,0.0865,0.911341667
20,0.01,0.05,1,0.90465,0.09535,0.9095,0.0905,0.907075
20,0.01,None,1,0.9021,0.0979,0.9072,0.0928,0.90465
50,0.01,None,0,0.89905,0.10095,0.9071,0.0929,0.903075
50,0.01,0.05,0,0.899333333,0.100666667,0.9065,0.0935,0.902916667
100,0.01,0.05,0,0.899533333,0.100466667,0.9059,0.0941,0.902716667
100,0.01,None,0,0.898216667,0.101783333,0.9066,0.0934,0.902408333
150,0.01,None,0,0.89705,0.10295,0.9068,0.0932,0.901925
200,0.01,None,0,0.896633333,0.103366667,0.9056,0.0944,0.901116667
150,0.01,0.05,0,0.89715,0.10285,0.9043,0.0957,0.900725
200,0.01,0.05,0,0.895216667,0.104783333,0.9057,0.0943,0.900458333
20,0.1,0.05,0,0.899866667,0.100133333,0.8992,0.1008,0.899533333
20,0.05,None,0,0.8991,0.1009,0.8989,0.1011,0.899
20,0.01,0.05,0,0.88785,0.11215,0.8934,0.1066,0.890625
20,0.01,None,0,0.883933333,0.116066667,0.8923,0.1077,0.888116667
20,0.1,None,0,0.88685,0.11315,0.8837,0.1163,0.885275
